user_id,operator_id,operator_calls,operator_missed_rate,team_missed_rate,diff,relative_diff,p_value,fail_missed,fail_waiting,operator_median_waiting,team_median_waiting,fail_outbound,operator_median_weekly_outbound,team_median_weekly_outbound,fail_count,status
166658,891166.0,,,,,,,False,False,,,False,15.0,47.0,0,Normal
166658,891170.0,,,,,,,False,False,,,False,14.0,42.0,0,Normal
166678,900892.0,87.0,0.034482758620689655,0.022727272727272728,-0.011755485893416927,-0.5172413793103448,0.7118717814346724,False,False,20.0,18.5,False,64.0,15.0,0,Normal
166678,900894.0,44.0,0.022727272727272728,0.034482758620689655,0.011755485893416927,0.3409090909090909,0.7118717814346724,False,False,18.5,20.0,False,15.0,54.0,0,Normal
166680,917234.0,,,,,,,False,False,,,False,140.0,56.5,0,Normal
166782,893804.0,107.0,0.08411214953271028,0.05952380952380952,-0.024588340008900755,-0.4130841121495327,0.5175138271948112,False,False,119.0,34.5,False,294.0,105.0,0,Normal
166782,899250.0,84.0,0.05952380952380952,0.08411214953271028,0.024588340008900755,0.2923280423280423,0.5175138271948112,False,False,34.5,119.0,True,96.0,174.0,1,Atenção
166782,900180.0,,,,,,,False,False,,,False,165.0,116.0,0,Normal
166800,892532.0,,,,,,,False,False,,,False,5.0,2.5,0,Normal
166843,895172.0,,,,,,,False,False,,,False,9.0,9.0,0,Normal
166843,926312.0,,,,,,,False,False,,,False,14.0,8.5,0,Normal
166884,895774.0,,,,,,,False,False,,,False,8.5,18.0,0,Normal
166884,895776.0,,,,,,,False,False,,,False,20.0,8.0,0,Normal
166896,895574.0,47.0,0.02127659574468085,0.012987012987012988,-0.008289582757667863,-0.6382978723404253,0.7222130292448524,False,False,23.0,20.0,False,,,0,Normal
166896,895576.0,40.0,0.025,0.011904761904761904,-0.013095238095238097,-1.1000000000000003,0.5884202526000197,False,False,24.0,18.0,False,,,0,Normal
166896,895578.0,37.0,0.0,0.022988505747126436,0.022988505747126436,1.0,0.3524772862137644,False,False,15.0,23.0,False,,,0,Normal
166901,896008.0,,,,,,,False,False,,,False,14.0,7.0,0,Normal
166901,896016.0,,,,,,,False,False,,,False,19.0,5.5,0,Normal
166916,906392.0,,,,,,,False,False,,,False,1.0,23.0,0,Normal
166916,906394.0,,,,,,,False,False,,,False,73.0,16.0,0,Normal
166916,906396.0,33.0,0.09090909090909091,0.10559006211180125,0.014680971202710336,0.13903743315508024,0.8005312096178986,False,False,74.0,229.0,False,29.0,17.0,0,Normal
166916,906398.0,,,,,,,False,False,,,False,2.5,22.0,0,Normal
166916,906400.0,39.0,0.07692307692307693,0.10967741935483871,0.032754342431761785,0.2986425339366516,0.547652104754188,False,False,88.0,267.0,False,48.0,16.0,0,Normal
166916,906404.0,43.0,0.13953488372093023,0.09271523178807947,-0.04681965193285076,-0.5049833887043189,0.3730563772076926,False,False,314.0,138.0,False,69.0,13.0,0,Normal
166916,906406.0,45.0,0.06666666666666667,0.11409395973154363,0.04742729306487696,0.41568627450980394,0.35917623568235757,False,True,390.0,132.0,False,126.0,13.0,1,Atenção
166916,906410.0,34.0,0.14705882352941177,0.09375,-0.05330882352941177,-0.5686274509803922,0.3532282080011646,False,False,151.5,226.0,False,,,0,Normal
166916,906412.0,,,,,,,False,False,,,False,45.0,18.0,0,Normal
166973,901584.0,,,,,,,False,False,,,False,11.0,7.5,0,Normal
166973,901586.0,,,,,,,False,False,,,False,10.0,9.5,0,Normal
166973,901588.0,,,,,,,False,False,,,False,5.0,10.0,0,Normal
166974,900352.0,57.0,0.017543859649122806,0.06382978723404255,0.04628592758491974,0.7251461988304093,0.22186640136626945,False,False,36.0,33.0,False,24.0,31.5,0,Normal
166974,900354.0,47.0,0.06382978723404255,0.017543859649122806,-0.04628592758491974,-2.6382978723404253,0.22186640136626945,False,False,33.0,36.0,False,31.5,24.0,0,Normal
166983,901880.0,106.0,0.09433962264150944,0.009523809523809525,-0.08481581311769992,-8.90566037735849,0.00019578549793616273,True,False,95.0,66.0,False,184.0,141.0,1,Atenção
166983,901884.0,95.0,0.010526315789473684,0.049773755656108594,0.03924743986663491,0.7885167464114833,0.09418367639917037,False,False,76.0,75.0,False,150.0,149.0,0,Normal
166983,901886.0,50.0,0.0,0.045112781954887216,0.045112781954887216,1.0,0.12571157702356145,False,False,44.0,83.0,False,134.0,153.0,0,Normal
166983,909134.0,65.0,0.015384615384615385,0.043824701195219126,0.02844008581060374,0.6489510489510489,0.2849999465708912,False,False,83.0,75.0,False,,,0,Normal
166997,903312.0,50.0,0.04,0.05263157894736842,0.012631578947368417,0.23999999999999994,0.7574143893226764,False,False,27.0,38.0,False,,,0,Normal
166997,903318.0,57.0,0.05263157894736842,0.04,-0.012631578947368417,-0.31578947368421045,0.7574143893226764,False,False,38.0,27.0,False,105.0,109.0,0,Normal
167031,910520.0,,,,,,,False,False,,,False,13.5,48.5,0,Normal
167035,923526.0,62.0,0.03225806451612903,0.041666666666666664,0.009408602150537633,0.2258064516129032,0.7937611291323862,False,False,88.5,50.0,False,203.0,38.5,0,Normal
167035,923528.0,48.0,0.041666666666666664,0.03225806451612903,-0.009408602150537633,-0.29166666666666663,0.7937611291323862,False,False,50.0,88.5,True,38.5,203.0,1,Atenção
167052,904038.0,78.0,0.02564102564102564,0.023809523809523808,-0.001831501831501832,-0.07692307692307694,0.9511252484423179,False,False,42.5,40.5,False,,,0,Normal
167052,904044.0,42.0,0.023809523809523808,0.02564102564102564,0.001831501831501832,0.07142857142857145,0.9511252484423179,False,False,40.5,42.5,False,,,0,Normal
